,index,artist,album,song,lyrics
2064,3334,Young Thug,Punk,Livin It Up (with Post Malone & A$AP Rocky),"hey, mmm  we got 45 bitches just livin' it up been too damn long without a sip of my cup sayin' one's too many, hunnid isn't enough, alright don't worry 'bout 12, no, they ain't showin' up rocky came with the shots, thug came with the blunts sayin' one's too many, hunnid isn't enough, alright, yeah  now, you see, we goin' dumb, dumb, dumb now, you see, we goin' dumb, dumb, dumb yeah, one's too many, hunnid isn't enough yeah, a hunnid just isn't enough  oh, hey lucky your girl, okay what you want? andalé got ice on the way put stones in your face calamari, ocean lake split a millions four ways vine pavoilion saint-tropez, yeah, alright  why is it so hard for you to cry when we rich? i put the sideline in front 'cause i can't argue 'bout shit ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2065,3335,Young Thug,Punk,Yea Yea Yea,"weezy outta here ysl music group  from the other world to the other world to the other world, lonely i done fucked her and another girl and another girl on me i done ran'd up these racks and now i got christmas under the tree (ran up) though my dawg and dem a set, they say nothin', that's on me (yeah) i don't wanna talk about that, no, i don't want to buy no piece you're dependent, trappin' down, i'm tryna forever remember this  i was tryna shoot 'em down, i don't wanna forever diss (ha) be quiet, lеt me count every dimе without a miss (shh) i done ran'd up the bag, now red bottoms on my feet you can wake up to drapes and heated floors on your feet (yeah)  señoritas, i'ma buy you a richard mille, all vv's señoritas (señoritas), señorita (oh, yeah) señorita ('rita), gotta re-up (whoa-whoa) fuck it, we up, my feet up (oh) send the weed up with a fever ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2066,3336,Young Thug,Punk,Insure My Wrist (with Gunna),"(taurus) i don't believe ya when you say you're different (taurus) 'cause i heard it all before yeah  half a million, got insurance on my watch half a million, i went got me some insurance on my wrist i told lil' ma, ""be careful bitch, this all on my expense"" i told her, ""watch the wheels on the bent', cause' it ain't rented"" talk about that bitch, oh i got plenty i'm talkin' 'bout a lot, like a million bucks in pennies these pussies riding waves, so why they motherfuckin' spending? and my diamonds black like spades, and i'm smilin' and grinnin'  my mama told me, ""pick up the phone"" i got a call from the label sayin' it's coming in strong i just called up my old lady, told her, ""go pick what you want"" i put these racks on your potatoes, your tomatoes get gone  she ask me who i am when she see me i'm just that nigga wit' that million dollar tipi i came from nothin' but that ain't how the world see me i'm kinda happy, i guess that's how the girls skeet me ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2067,3337,Young Thug,Punk,Scoliosis (with Lil Double 0),"yeah, double 0 i catch your bitch and i hit with the trojan white diamonds like a dove or lotion (woo)  pussy young nigga try fuck with the kid but they can't fuck up nothin', i got on my motion i promise i come for the smoke and young double with me and the guns are smokin' i fuck on that bitch, get in motion got twenty-some karats, my shit out the ocean (yeah) i cop me a cartier skeleton, yeah (yeah), scoliosis (woo)  back to back lambo' with taurus (woo) i fucked that bitch with a virus (woo) i put the beam on the carbon (woo) i put the drac' on the charger (woo) move down that bitch like a dodger (woo) racks longer than martyr (swoo) i came to school tardy (woo) i was fuckin' your daughter (sex)  whole lotta bags (whole lotta bags) fn in the jag' (f in the back) put some hoes in the cab put the child in the trash (yeah)  let it hit like steve nash (yeah, yeah) i get lettuce, that's cash (cash) i go 'vette on they ass i'm not finishin' last (i'm not finishin' last) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2068,3338,Young Thug,Punk,Bubbly (with Drake & Travis Scott),"wheezy outta here  my career 'bout to blast like bubbly i'm not waitin' for her to say she love me i can tell she fuck with me man, trust me i got a ten-year-old mink still ain't fuzzy 325 on the dashboard, ridin' in the porsche, rockin' tom ford i ball at barneys, new christian dior i took the jet to the new york store  she lick while i'm drivin', i'm stainin' the floor i took it off track, now i'm ridin' in sport (yeah) you stay in your feelings, you never my boy i can't come to the hood, i pull a decoy  another body drop, and they screamin' my name i'm goin' to l.a. on a private plane (grah, grah) could never come back and my family straight (grrah) i'm touchable? no, i'm too rich and too paid skeleton cartier, black diamonds face pull up too deep like a fuckin' parade old jealous-ass niggas tryna fuck up my pay (ha) blast off, rolls royce cullinan rain (broke niggas)  i put baguettes in my wrist and my neck and my ears and my motherfuckin' chains (chains) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2069,3339,Young Thug,Punk,Road Rage,"tyre, it's a tyre, it's a tyre...  hopscotchin' through the street, i'm tryin' not to fall she pray to god i make it home before tomorrow morn i'm tryna tell her to pick a rollie but she don't care at all i'm carin' 'bout my drink, my portion's what i'm comin' for  i been keepin' up with my city high performance on my jacket, rolls royce truck for extra 50 just in case i run into her, i'm tryin' my best to stay spiffy, yeah  see the pussies on the sideline wishin' that i fall pull the skeletons out the closet, i'm 'bout to tell it all just want my money, my hoes and all my kids to ball i'm road-raging to the millions if i have to crawl i'm road-raging to the millions if i have to crawl, oh yeah i'm road-raging to the millions if i have to crawl ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2070,3340,Young Thug,Punk,Faces,"this is what you need, need (ayy) i came with plenty racks this is what you need wear my heart (heart), on my sleeve (hey)  sit me down, baby, tell me what it is cross my heart, the door ajar, unless it's bentley say you wanna turn my back don't go knock on my dawg door (yeah, yeah)  i'm makin' love to shawty, oh (yeah) hey sis, spend it up okay, you beat your cases and you don't have to sell the can now (sell the can now)  and that fuckin' ring look like the grand slam (woah) oh, i'ma have to take a bentley jet to transit (woah) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2071,3341,Young Thug,Punk,Droppin Jewels,"(show me that i'm done, i'm finished here, but still no fear, yeah) ain't no more reminiscin' ain't no more judgin', no intuition (tell me why i'm livin', why am i remaining here?) i was smokin' 'scotti, but not pippen i taught my son how to stack that shit to the ceiling  drop a body, and you wouldn't have to pay for lunch i told my dawg i'm ridin' whether he right or wrong i done got big, they record my life through a drone i told my bitch to stand behind me, i'm in my zone she like, ""how the fuck you ain't never wrote a song?"" same reason your fine ass ain't never wore a thong you ain't ridin' for life, then i'd just rather ride alone bought you a spot, now you don't ever gotta go  yeah, i told my nigga i'ma drop the jewels on him you gotta go through this shit with your heart, you can't snooze on it it's bad, you better get rid of it or lose on it i know you heard that old saying about bad fruit, homie huh, if you can't beat 'em, knock it out 'em if you gon' kill 'em, better not be sloppy  i told my daughter, ""keep one in the head,"" she ain't gotta cock it i told my son if he wanted to live, he might catch a body i told my son he ain't a cheerleader, but he might gotta catch a body ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2072,3342,Young Thug,Punk,Fifth Day Dead,"yeah, ooh no yeah, ooh no yeah yeah, ooh, no tell me ooh, no say, ooh no yeah  moncler coat 'cause i'm the coldest out i had 20,000, price, ceiling drought tore your bitch in the corner, me and the dogs gettin' after her got 27 colors, this versace couch  i got it from birdman, out of his miami spot i told the bitch don't call me, she a miami thot they hate to see you racking, big gold patek's rose gold white diamonds on my wrist, it's like my main bitch told  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2073,3343,Young Thug,Punk,Icy Hot (with Doja Cat),"wheezy outta here  she say i'm high as fuck, i said, ""i'm icy hot"" (icy hot) got a show in the 504, i wore a bunch of rocks i got her tummy tucked before she let me fuck i keep her in a box, she wanna spend my bucks  she said i'm fire as fuck, i said, ""i'm icy hot"" i said, ""i'm icy hot"", i said, ""i'm icy hot"" she wanna land a punch, my pocket on croissants i call lil' mama a thot, she call me icy hot  first of all, i've been in the trap for a lifetime fuck a dawn, i've been spinnin' black just like nighttime above the law, i'm a motherfuckin' outlaw fendi scarves, louis vuitton on my cyclone, huh  you walk up, get wet up again you want me to get fed up again but i don't let up again this fool better catch up, it's time to get wet up now i never sweat up again i ain't never let up again is you a bad bitch in a mercedes? (hey) is you a bad bitch in a mercedes? (hey) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2074,3344,Young Thug,Punk,"Love You More (with Nate Ruess, Gunna & Jeff Bhasker)","no, i'm not tryin' to be the last thing you see when you turn your light off  you're makin' me feel some feel but i know that it's wrong can't you see? it's not who i wanna be, yeah  'cause i love you more than anything  oh, i love you more than anything  'cause i love you more than anything  oh, i love you more than anything  hoping you call 'bout anything  i love when you call me about anything  i love how you don't doubt anything  like i said, get anything ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
